,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
85,2018-03-14T19:46:09.523Z,2011-02-11T00:00:00.000Z,EBot,5aa97c0161f7fe21908810a9,,EBot 60741,60741,2018-03-14T19:46:09.523Z
86,2018-03-14T19:46:58.244Z,2011-03-02T00:00:00.000Z,EBot,5aa97c3261f7fe21908810ab,,EBot 60742,60742,2018-03-14T19:46:58.244Z
87,2018-03-14T19:48:19.944Z,2011-03-02T00:00:00.000Z,EBot,5aa97c8361f7fe21908810ad,,EBot 60743,60743,2018-03-14T19:48:19.944Z
88,2018-03-14T20:20:07.610Z,2011-03-24T00:00:00.000Z,EBot,5aa983f761f7fe21908810b1,,EBot 60746,60746,2018-03-14T20:20:07.610Z
89,2018-03-14T20:25:45.709Z,2011-03-24T00:00:00.000Z,EBot,5aa9854961f7fe21708810a1,,EBot 60748,60748,2018-03-14T20:25:45.709Z
90,2018-03-14T20:26:31.120Z,2011-03-24T00:00:00.000Z,EBot,5aa9857761f7fe21708810a2,2018-04-27T14:20:11.349+00:00,EBot 60749,60749,2018-03-14T20:26:31.120Z
91,2018-03-14T20:27:28.665Z,2011-03-24T00:00:00.000Z,EBot,5aa985b061f7fe21908810b8,,EBot 60750,60750,2018-03-14T20:27:28.665Z
92,2018-03-14T20:28:12.282Z,2011-07-21T00:00:00.000Z,EBot,5aa985dc61f7fe21708810a6,,EBot 60990,60990,2018-03-14T20:28:12.282Z
93,2018-03-14T20:30:39.695Z,2011-07-21T00:00:00.000Z,EBot,5aa9866f61f7fe21708810a9,2018-04-27T12:30:45.821+00:00,EBot 60991,60991,2018-03-14T20:30:39.695Z
94,2018-03-14T20:31:27.769Z,2012-04-20T00:00:00.000Z,EBot,5aa9869f61f7fe21708810aa,,EBot 61352,61352,2018-03-14T20:31:27.769Z
95,2018-03-14T20:32:54.214Z,2012-04-20T00:00:00.000Z,EBot,5aa986f661f7fe21708810ac,,EBot 61353,61353,2018-03-14T20:32:54.214Z
96,2018-03-14T20:34:16.914Z,2012-04-30T00:00:00.000Z,EBot,5aa9874861f7fe21908810c0,,EBot 61354,61354,2018-03-14T20:34:16.914Z
97,2018-03-14T20:35:23.595Z,2012-04-20T00:00:00.000Z,EBot,5aa9878b61f7fe21708810b0,,EBot 61355,61355,2018-03-14T20:35:23.595Z
98,2018-03-14T20:37:29.107Z,2012-04-20T00:00:00.000Z,EBot,5aa9880961f7fe21908810c1,,EBot 61356,61356,2018-03-14T20:37:29.107Z
99,2018-03-14T20:38:07.008Z,2012-04-30T00:00:00.000Z,EBot,5aa9882e61f7fe21908810c3,,EBot 61357,61357,2018-03-14T20:38:07.008Z
100,2018-03-14T20:38:51.843Z,2012-04-25T00:00:00.000Z,EBot,5aa9885b61f7fe21908810c5,,EBot 61358,61358,2018-03-14T20:38:51.843Z
101,2018-03-14T20:40:27.651Z,2012-04-25T00:00:00.000Z,EBot,5aa988bb61f7fe21908810c7,,EBot 61359,61359,2018-03-14T20:40:27.651Z
102,2018-03-14T20:41:29.198Z,2012-11-16T00:00:00.000Z,EBot,5aa988f961f7fe21708810b3,,EBot 61607,61607,2018-03-14T20:41:29.198Z
103,2018-03-14T20:42:06.929Z,2012-11-23T00:00:00.000Z,EBot,5aa9891e61f7fe21708810b5,,EBot 61609,61609,2018-03-14T20:42:06.929Z
104,2018-03-14T20:42:56.095Z,2012-11-23T00:00:00.000Z,EBot,5aa9895061f7fe21708810b6,2018-04-27T12:41:36.479+00:00,EBot 61610,61610,2018-03-14T20:42:56.095Z
105,2018-03-14T20:43:38.604Z,2012-11-23T00:00:00.000Z,EBot,5aa9897a61f7fe21908810cb,,EBot 61611,61611,2018-03-14T20:43:38.604Z
